fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality;color
74;7;0;19;76;110;340;9978;351;56;94;5;0
78;88;0;26;98;250;670;9968;32;68;98;5;0
78;76;4;23;92;150;540;997;326;65;98;5;0
112;28;56;19;75;170;600;998;316;58;98;6;0
74;7;0;19;76;110;340;9978;351;56;94;5;0
74;66;0;18;75;130;400;9978;351;56;94;5;0
79;6;6;16;69;150;590;9964;33;46;94;5;0
73;65;0;12;65;150;210;9946;339;47;100;7;0
78;58;2;20;73;90;180;9968;336;57;95;7;0
75;5;36;61;71;170;1020;9978;335;8;105;5;0
67;58;8;18;9,7E+15;150;650;9959;328;54;92;5;0
75;5;36;61;71;170;1020;9978;335;8;105;5;0
56;615;0;16;8,9E+15;160;590;9943;358;52;99;5;0
78;61;29;16;114;90;290;9974;326;156;91;5;0
89;62;18;38;1,76E+16;520;1450;9986;316;88;92;5;0
89;62;19;39;17;510;1480;9986;317;93;92;5;0
85;28;56;18;92;350;1030;9969;33;75;105;7;0
81;56;28;17;368;160;560;9968;311;128;93;5;0
74;59;8;44;86;60;290;9974;338;5;90;4;0
79;32;51;18;341;170;560;9969;304;108;92;6;0
89;22;48;18;77;290;600;9968;339;53;94;6;0
76;39;31;23;8,2E+15;230;710;9982;352;65;97;5;0
79;43;21;16;106;100;370;9966;317;91;95;5;0
85;49;11;23;84;90;670;9968;317;53;94;5;0
69;4;14;24;85;210;400;9968;343;63;97;6;0
63;39;16;14;8;110;230;9955;334;56;93;5;0
76;41;24;18;8;40;110;9962;328;59;95;5;0
79;43;21;16;106;100;370;9966;317;91;95;5;0
71;71;0;19;8;140;350;9972;347;55;94;5;0
78;645;0;20;8,2E+15;80;160;9964;338;59;98;6;0
67;675;7;24;8,9E+15;170;820;9958;335;54;101;5;0
69;685;0;25;105;220;370;9966;346;57;106;6;0
83;655;12;23;83;150;1130;9966;317;66;98;5;0
69;605;12;107;73;400;830;9993;345;52;94;6;0
52;32;25;18;1,03E+16;130;500;9957;338;55;92;5;0
78;645;0;55;86;50;180;9986;34;55;96;6;0
78;6;14;24;86;30;150;9975;342;6;108;6;0
81;38;28;21;66;130;300;9968;323;73;97;7;0
57;113;9;15;172;70;190;9,94E+15;35;48;98;4;0
73;45;36;59;7,4E+15;120;870;9978;333;83;105;5;0
73;45;36;59;7,4E+15;120;870;9978;333;83;105;5;0
88;61;3;28;8,8E+15;170;460;9976;326;51;93;4;0
75;49;2;26;332;80;140;9968;321;9;105;6;0
81;66;22;22;69;90;230;9968;33;12;103;5;0
68;67;2;18;5;50;110;9962;348;52;95;5;0
46;52;15;21;5,4E+16;80;650;9934;39;56;131;4;0
77;935;43;22;114;220;1140;997;325;73;92;5;0
87;29;52;16;113;120;370;9969;325;58;95;5;0
64;4;23;16;66;50;120;9958;334;56;92;5;0
56;31;37;14;7,4E+15;120;960;9954;332;58;92;5;0
88;66;26;17;7,4E+15;40;230;9971;315;74;92;5;0
66;52;4;22;69;80;150;9956;34;63;94;6;0
66;5;4;21;68;60;140;9955;339;64;94;6;0
86;38;36;30;81;300;1190;997;32;56;94;5;0
76;51;15;28;11;330;730;9955;317;63;102;6;0
77;62;4;38;84;250;450;9978;334;53;95;5;0
102;42;57;34;7;40;100;9971;304;63;96;5;0
75;63;12;51;111;500;1100;9983;326;77;94;5;0
78;59;18;23;76;170;540;9975;343;59;100;5;0
73;39;31;24;7,4E+15;90;460;9962;341;54;94;6;0
88;4;4;22;79;190;520;998;344;64;92;5;0
77;69;49;18;115;200;1120;9968;321;71;93;5;0
75;52;16;19;85;120;350;9968;338;62;95;7;0
70;735;5;20;81;130;540;9966;339;57;98;5;0
72;725;5;465;86;40;110;9962;341;39;109;5;0
72;725;5;465;86;40;110;9962;341;39;109;5;0
75;52;11;15;79;110;390;9968;342;58;96;5;0
66;705;7;16;76;60;150;9962;344;58;107;5;0
93;32;57;20;7,4E+15;270;650;9969;328;79;107;5;0
80;705;5;19;7,4E+15;80;190;9962;334;95;105;6;0
77;63;8;19;76;150;270;9967;332;54;95;6;0
77;67;23;21;8,8E+15;170;960;9962;332;48;95;5;0
77;69;22;19;84;180;940;9961;331;48;95;5;0
83;675;26;21;84;110;430;9976;331;53;92;4;0
97;32;54;25;94;280;830;9984;328;82;96;5;0
88;41;64;22;9,3E+15;90;420;9986;354;66;105;5;0
88;41;64;22;9,3E+15;90;420;9986;354;66;105;5;0
68;785;0;24;1,04E+16;140;300;9966;352;55;107;6;0
67;75;12;20;86;120;800;9958;338;52;101;5;0
83;625;2;15;8;270;1190;9972;316;112;91;4;0
62;45;2;16;69;30;150;9958;341;56;92;5;0
78;43;7;19;4,64E+16;220;670;9974;313;128;94;5;0
74;5;47;20;86;210;730;997;336;57;91;5;0
73;67;26;18;401;160;510;9969;316;114;94;5;0
63;3;48;18;69;180;610;9959;344;78;103;6;0
69;55;15;22;76;190;400;9961;341;59;101;5;0
86;49;28;19;11;200;1360;9972;293;195;99;6;0
77;49;26;19;62;90;310;9966;339;64;96;5;0
93;39;44;21;107;340;1250;9978;314;122;95;5;0
70;62;8;18;76;80;240;9978;348;53;90;5;0
79;52;26;19;79;420;1400;9964;323;54;95;5;0
86;49;28;19;11;200;1360;9972;293;195;99;6;0
86;49;29;20;11;190;1330;9972;293;198;98;5;0
77;49;26;19;62;90;310;9966;339;64;96;5;0
50;102;4;14;45;410;850;9938;375;48;105;4;0
47;6;17;23;5,8E+16;170;1060;9932;385;6;129;6;0
68;775;0;30;102;80;230;9965;345;56;107;5;0
70;5;25;20;7;30;220;9963;325;63;92;5;0
76;9;6;25;79;50;100;9967;339;56;98;5;0
81;545;18;19;8;130;350;9972;33;59;90;6;0
83;61;3;21;84;110;500;9972;34;61;102;6;0
78;5;3;19;75;80;220;9959;331;56;104;6;0
81;545;18;19;8;130;350;9972;33;59;90;6;0
81;575;22;21;77;120;650;9967;329;51;92;5;0
72;49;24;22;7;50;360;996;333;48;94;5;0
81;575;22;21;77;120;650;9967;329;51;92;5;0
78;41;68;17;467;180;690;9973;308;131;93;5;0
62;63;31;17;8,8E+15;150;640;9969;346;79;93;5;0
80;33;53;25;91;180;800;9976;337;8;96;6;0
81;785;52;20;122;370;1530;9969;321;69;93;5;0
78;56;19;18;1,04E+16;120;470;9964;319;93;95;5;0
84;62;9;22;84;110;1080;9964;315;66;98;5;0
84;6;1;22;85;140;1110;9964;315;66;98;5;0
101;31;44;23;8;220;460;9988;332;67;97;6;0
78;56;19;18;1,04E+16;120;470;9964;319;93;95;5;0
94;4;31;22;9;130;620;9966;307;63;105;6;0
83;54;28;19;77;110;400;9978;339;61;100;6;0
78;56;12;20;8,2E+15;70;280;997;337;5;94;6;0
88;55;4;22;1,19E+16;140;560;9962;321;6;109;6;0
70;69;8;18;9,7E+15;220;890;9959;334;54;92;6;0
73;107;9;17;1,78E+16;100;890;9962;33;57;90;5;0
88;55;4;22;1,19E+16;140;560;9962;321;6;109;6;0
73;695;0;25;75;30;130;998;349;52;92;5;0
80;71;0;26;8;110;340;9976;344;53;95;5;0
78;5;17;16;8,2E+15;210;1020;996;339;48;95;5;0
90;62;4;19;146;270;900;9984;316;7;94;5;0
82;133;0;17;81;30;120;9964;353;49;109;5;0
81;133;0;18;8,2E+15;30;120;9964;354;48;109;5;0
80;59;16;18;65;30;160;9962;342;92;105;7;0
61;38;15;18;7,2E+15;60;190;9955;342;57;94;5;0
80;745;56;20;1,18E+16;300;1340;9968;324;66;94;5;0
56;5;9;23;49;170;990;9937;363;63;130;5;0
56;5;9;23;49;170;990;9937;363;63;130;5;0
66;5;1;15;6;170;260;9952;34;58;98;6;0
79;104;5;22;84;130;290;9959;322;55;99;6;0
84;745;11;19;9;160;630;9965;319;82;96;5;0
83;715;15;18;8,9E+15;100;520;9968;323;77;95;5;0
72;415;36;20;81;130;450;9972;348;64;92;5;0
78;56;19;21;81;150;1050;9962;333;54;95;5;0
78;56;19;20;81;170;1080;9962;332;54;95;5;0
84;745;11;19;9;160;630;9965;319;82;96;5;0
83;715;15;18;8,9E+15;100;520;9968;323;77;95;5;0
52;34;0;18;5;270;630;9916;368;79;140;6;0
63;39;8;17;66;30;200;9954;334;58;94;5;0
